"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"BCOR",864.478405847545,0.0204865469567315,0.0404606612718528,0.00871259716008248,0.552607815391159,FALSE
"P2RX5",160.135728365812,-0.0159721102154271,0.0363354548381351,0.00876040550780975,0.552607815391159,FALSE
"SPECC1L",507.58253748601,0.0264198997836938,0.0483238032685799,0.0086680790362245,0.552607815391159,FALSE
"ZNF575",107.999366846817,0.0150416427213026,0.0356369026793572,0.00869013903455442,0.552607815391159,FALSE
"CCDC142",117.165725083904,0.0152467656216684,0.0357781224499064,0.00904672730805958,0.560976130186796,FALSE
"DNAJC28",27.1633050263249,0.00543184677761767,0.0310389221946906,0.00913918116024843,0.560976130186796,FALSE
"MRPS26",680.795269758125,0.108692413524755,0.213516624587325,0.00899831232412354,0.560976130186796,FALSE
"PTPRC",38488.6594568763,0.0922129593345771,0.0683713882985061,0.00913603783107668,0.560976130186796,FALSE
"RNF4",2731.19668922106,-0.1222941700556,0.281896178471522,0.00901303767084559,0.560976130186796,FALSE
"DUSP5",540.767894737548,-0.011462412658377,0.033370261410752,0.00927824345433382,0.566591400277985,FALSE
"LETM2",19.6692934293286,0.00490108733778279,0.0309147643801588,0.00959978092477836,0.583235669654391,FALSE
"C12orf66",140.20524326172,-0.0111190735604148,0.0331711039061899,0.00978049455884594,0.584292450228998,FALSE
"ING4",1160.3618397427,0.0360051360798335,0.0684400089883857,0.00970524722217346,0.584292450228998,FALSE
"ME3",55.1443195235545,0.00747856002840332,0.0316334083921483,0.009779651174286,0.584292450228998,FALSE
"SFI1",900.829057815841,0.0377720597230897,0.0730252746511691,0.00981344390710443,0.584292450228998,FALSE
"HAGHL",182.813976383348,0.0217445486015586,0.041918567628417,0.00996505725069398,0.590367670354547,FALSE
"AVPI1",320.260285855891,-0.0120004511513983,0.0336524550509088,0.0102967934974441,0.592798060577247,FALSE
"BNIP2",3904.72320233442,-0.0289126955168004,0.0519881010274288,0.0104367150512846,0.592798060577247,FALSE
"C12orf4",238.535626561163,0.0197742882145165,0.0395363170481386,0.0116121516473388,0.592798060577247,FALSE
"CCDC75",90.9785907093907,0.00819059738735814,0.0318895545076314,0.0106511247883724,0.592798060577247,FALSE
"CCDC88A",172.60196053112,0.0132476765333172,0.0343863443291546,0.0106223610944351,0.592798060577247,FALSE
"CCNC",1194.13945827608,-0.0352719920515032,0.0654305432281021,0.0120046338433163,0.592798060577247,FALSE
"CLK2",327.696727630967,0.0176336676052719,0.0376495608915029,0.0108219412304134,0.592798060577247,FALSE
"COLQ",320.999964725695,-0.00610543718787889,0.0312081427033602,0.0112634265191739,0.592798060577247,FALSE
"CRLF3",2351.22133014648,-0.0381718263946652,0.0733364999093941,0.0118823165163953,0.592798060577247,FALSE
"DDRGK1",496.385139996461,0.0319577755055202,0.0574602609047751,0.0115839495824165,0.592798060577247,FALSE
"DUSP12",1101.52947382707,-0.0301198147888109,0.0536395413625792,0.0112542773746903,0.592798060577247,FALSE
"EIF5",3721.70735585769,-0.0237077603641852,0.0440023802196929,0.0119576611189397,0.592798060577247,FALSE
"ERGIC1",395.0050152283,-0.0154815586833612,0.0358963983373267,0.011381861962249,0.592798060577247,FALSE
"FAM115A",356.750277638451,0.012890358939256,0.0342252908370749,0.0119614534427699,0.592798060577247,FALSE
"FAM179A",170.632418877792,0.012107115387705,0.0337008375257035,0.0113283528457382,0.592798060577247,FALSE
"FAM69A",742.522232774103,-0.023286359900363,0.0439823079830594,0.012000046726648,0.592798060577247,FALSE
"FTSJ2",331.969669023162,-0.0176761413429989,0.0376909425736093,0.0105768434959365,0.592798060577247,FALSE
"HIST1H2AE",38.679198704656,2.15331264505277,0.389536132616235,0.0102033421855042,0.592798060577247,FALSE
"HLA-DPB1",4965.56133543754,0.0250378132549028,0.0459358844689801,0.0105953444688091,0.592798060577247,FALSE
"HSPBAP1",159.726116978866,-0.0165418060762403,0.0367221030513771,0.0111071174502108,0.592798060577247,FALSE
"LRIG1",525.509455157156,-0.0145059663442704,0.0351870143131527,0.0119593244108203,0.592798060577247,FALSE
"MAX",1613.10716074021,-0.0415054839019276,0.0823187513253696,0.0115342497103127,0.592798060577247,FALSE
"MXD3",76.940347956828,-0.0117251122226399,0.0335002838488588,0.0102120219306339,0.592798060577247,FALSE
"NINJ1",1771.38084310435,-0.0192883375027562,0.0391160801588094,0.0120471221581872,0.592798060577247,FALSE
"NIP7",644.880803142629,-0.0191108676244868,0.0389690349063473,0.0114971109186628,0.592798060577247,FALSE
"OGFOD2",301.586005314327,0.0243020417733355,0.0449141051941603,0.0116678496781303,0.592798060577247,FALSE
"PARL",1342.97490626558,-0.0706513251439269,0.36690160866353,0.01118310050615,0.592798060577247,FALSE
"PFDN2",473.283323955941,0.0376952898590926,0.0719273102682848,0.0118089753023289,0.592798060577247,FALSE
"PIK3CB",214.48408374365,-0.0142733029252801,0.0351412292326723,0.0110603192771414,0.592798060577247,FALSE
"PRMT10",250.49939379279,0.0155814521602441,0.0359602824343693,0.0119469630750532,0.592798060577247,FALSE
"PSME4",426.262971509061,0.0155052516945859,0.0359209884281702,0.0111322797533511,0.592798060577247,FALSE
"SLC25A15",114.324122475321,-0.0109637969513833,0.0330934540721086,0.0109511022009539,0.592798060577247,FALSE
"SLC7A5",488.303276013983,-0.00951331692359355,0.0323125358592766,0.0115225810549848,0.592798060577247,FALSE
"SPATA2L",218.830576447033,0.013826216849306,0.0347625228366755,0.0103253915971131,0.592798060577247,FALSE
"ST6GALNAC4",295.626145115509,0.0142005951540601,0.0349915151667444,0.0114346113634452,0.592798060577247,FALSE
"SUMF2",2438.78307600149,-0.0857604955902045,0.145667236097241,0.0109691344260536,0.592798060577247,FALSE
"TIMM22",867.313581853064,0.0349577031985003,0.0641611356221153,0.0116864259650756,0.592798060577247,FALSE
"TLR1",145.806380971151,-0.0105804017733291,0.0328964053914281,0.0117583665707488,0.592798060577247,FALSE
"TRAF1",501.272605489388,0.0199859164337998,0.0398527394607674,0.0113378762143986,0.592798060577247,FALSE
"TSPAN6",25.2298784706679,-0.00304036004243932,0.0305836516635451,0.0108547324922975,0.592798060577247,FALSE
"XCL2",223.832378880068,0.00875853791237182,0.0320997391314052,0.010838441385861,0.592798060577247,FALSE
"ABCA1",24.4189363213596,-0.00302582810844129,0.0305789988937681,0.0153377991265065,0.596487471508866,FALSE
"ADRBK2",29.5003045447817,0.00521429726443312,0.0309758335752802,0.0151612286325766,0.596487471508866,FALSE
"ANKRD36BP1",19.3347750719175,-0.00516133166149585,0.0309634031727002,0.0151054871942538,0.596487471508866,FALSE
"AP1AR",199.600349877587,-0.0116570775411557,0.0334304704504472,0.0133321492156725,0.596487471508866,FALSE
"BROX",178.013302744182,-0.0156703322263692,0.0359467381094773,0.014318580511967,0.596487471508866,FALSE
"C10orf95",14.0949891248388,0.00712585471107245,0.0315007897315325,0.014015552505833,0.596487471508866,FALSE
"C12orf29",349.193463664244,-0.0196064618192319,0.0394131411157026,0.0123405294095967,0.596487471508866,FALSE
"C15orf44",580.077229776902,0.0212781952724036,0.0411830087125955,0.013066400466901,0.596487471508866,FALSE
