"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","3/174","213/5433",0.0140845070422535,0.43977659057795,-1.51711576678996,0.970359421034502,0.99750420767229,0.928670583984963,"1975/3560/3815",3
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","2/174","167/5433",0.0119760479041916,0.373941771629156,-1.49463605834313,0.973196622088075,0.99750420767229,0.928670583984963,"948/1536",2
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","1/174","113/5433",0.00884955752212389,0.27631980469942,-1.41394661510496,0.975700530482284,0.99750420767229,0.928670583984963,"1454",1
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","1/174","114/5433",0.0087719298245614,0.27389594676346,-1.42507988792073,0.976495287568014,0.99750420767229,0.928670583984963,"84628",1
"Cellular Processes","Cell motility","hsa04814","Motor proteins","1/174","115/5433",0.00869565217391304,0.271514242878561,-1.43614648030645,0.977264195250504,0.99750420767229,0.928670583984963,"6993",1
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","1/174","116/5433",0.00862068965517241,0.269173602853746,-1.44714753545467,0.978008089576644,0.99750420767229,0.928670583984963,"4218",1
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","2/174","189/5433",0.0105820105820106,0.330414158000365,-1.70415362272085,0.985735021087706,0.99750420767229,0.928670583984963,"6196/6604",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","2/174","192/5433",0.0104166666666667,0.325251436781609,-1.73136415659033,0.986924645451221,0.99750420767229,0.928670583984963,"57823/201633",2
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","1/174","135/5433",0.00740740740740741,0.231289910600255,-1.64503979316397,0.988325542519075,0.99750420767229,0.928670583984963,"5608",1
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","1/174","139/5433",0.00719424460431655,0.22463408583478,-1.68432174720921,0.989785698642153,0.99750420767229,0.928670583984963,"9587",1
"Genetic Information Processing","Translation","hsa03010","Ribosome","1/174","163/5433",0.00613496932515337,0.191559128411254,-1.90607364111486,0.9954280501837,0.99750420767229,0.928670583984963,"65080",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","1/174","173/5433",0.00578034682080925,0.180486346422165,-1.99245853662465,0.996732897801989,0.99750420767229,0.928670583984963,"10184",1
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","2/174","243/5433",0.00823045267489712,0.256988789555839,-2.15534970119037,0.997122402688082,0.99750420767229,0.928670583984963,"5685/2081",2
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","1/174","181/5433",0.00552486187845304,0.172509049342732,-2.05941134642034,0.99750420767229,0.99750420767229,0.928670583984963,"873",1
