"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-202433","Generation of second messenger molecules","6/763","29/7483",0.206896551724138,2.0291047136982,1.87089905904943,0.0684189306987881,0.999995710105417,0.999995710105417,"ITK/PLCG1/CD3G/LCK/EVL/LAT",6
"R-HSA-8964043","Plasma lipoprotein clearance","6/763","29/7483",0.206896551724138,2.0291047136982,1.87089905904943,0.0684189306987881,0.999995710105417,0.999995710105417,"AP2S1/LSR/NPC2/CLTA/NPC1/LDLRAP1",6
"R-HSA-194138","Signaling by VEGF","14/763","90/7483",0.155555555555556,1.52558613659531,1.69021241472632,0.0708071632732981,0.999995710105417,0.999995710105417,"CYBA/CDC42/ITPR3/AKT3/PTK2B/PLCG1/ABI2/PRKACB/CALM2/PIK3R1/PRKCA/NCF1/THEM4/SPHK1",14
"R-HSA-388396","GPCR downstream signalling","38/763","294/7483",0.129251700680272,1.26761530300193,1.5773818951422,0.0728986452852263,0.999995710105417,0.999995710105417,"BTK/HEBP1/PRKCH/TRIO/GNA15/DGKA/CDC42/PDE8A/ARHGEF10L/P2RY10/ITPR3/NTSR1/ARHGEF7/DGKH/RASGRF2/AKT3/GPR68/PTGER2/MCF2L/CCR7/ARHGEF9/ARRB1/PRKACB/CALM2/ACKR3/PIK3R1/CCL28/CAMK4/DGKE/GPR15/PRKCA/GHRL/ARHGEF3/PTGDR/GPR183/RASGRP1/CCR4/PSAP",38
"R-HSA-156581","Methylation","3/763","10/7483",0.3,2.94220183486239,2.07077709860196,0.0734862134207139,0.999995710105417,0.999995710105417,"MTR/GSTO1/HEMK2",3
"R-HSA-389359","CD28 dependent Vav1 pathway","3/763","10/7483",0.3,2.94220183486239,2.07077709860196,0.0734862134207139,0.999995710105417,0.999995710105417,"CDC42/CD28/LCK",3
"R-HSA-435354","Zinc transporters","3/763","10/7483",0.3,2.94220183486239,2.07077709860196,0.0734862134207139,0.999995710105417,0.999995710105417,"SLC39A7/SLC39A6/SLC39A1",3
"R-HSA-110313","Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template","7/763","37/7483",0.189189189189189,1.85544259856186,1.7575864814843,0.0767423958092139,0.999995710105417,0.999995710105417,"RFC2/UFD1/MAD2L2/REV1/POLH/POLD4/POLE",7
"R-HSA-3000171","Non-integrin membrane-ECM interactions","7/763","37/7483",0.189189189189189,1.85544259856186,1.7575864814843,0.0767423958092139,0.999995710105417,0.999995710105417,"ITGA6/ACTA2/HSPG2/CASK/PRKCA/SGCB/COL4A3",7
"R-HSA-372790","Signaling by GPCR","41/763","324/7483",0.126543209876543,1.2410522142938,1.49466523605691,0.0834929866311297,0.999995710105417,0.999995710105417,"BTK/HEBP1/PRKCH/TRIO/GNA15/DGKA/CDC42/PDE8A/ARHGEF10L/P2RY10/ITPR3/NTSR1/ARHGEF7/DGKH/RASGRF2/AKT3/GPR68/PTGER2/MCF2L/CCR7/ARHGEF9/ARRB1/PRKACB/CALM2/ACKR3/PIK3R1/CCL28/CAMK4/DGKE/GPR15/PRKCA/WNT7A/GHRL/ARHGEF3/PTGDR/GPR183/S1PR1/RASGRP1/CCR4/PTCH1/PSAP",41
"R-HSA-74752","Signaling by Insulin receptor","9/763","53/7483",0.169811320754717,1.66539726501644,1.63798916161242,0.0855426736046409,0.999995710105417,0.999995710105417,"ATP6V1H/ATP6V1D/ATP6V0E1/CTSD/ATP6V1E1/PIK3R1/THEM4/ATP6V0E2/ATP6V0A2",9
"R-HSA-2514859","Inactivation, recovery and regulation of the phototransduction cascade","4/763","17/7483",0.235294117647059,2.30760928224501,1.81863249658097,0.0872383625988027,0.999995710105417,0.999995710105417,"CALM2/NMT2/PRKCA/METAP1",4
"R-HSA-9842860","Regulation of endogenous retroelements","14/763","93/7483",0.150537634408602,1.47637368057611,1.55759124842854,0.087869707680591,0.999995710105417,0.999995710105417,"MTA3/CBX5/ZNF331/ZNF141/H3-3B/MORC2/PPHLN1/ZNF382/RBBP4/ZNF30/CHD3/ZNF519/H2BC12/ZNF649",14
"R-HSA-432720","Lysosome Vesicle Biogenesis","6/763","31/7483",0.193548387096774,1.89819473216928,1.68850134853007,0.0893563085253722,0.999995710105417,0.999995710105417,"AP4S1/CTSZ/DNASE2/CLTA/AP1M2/ARRB1",6
"R-HSA-1538133","G0 and Early G1","5/763","24/7483",0.208333333333333,2.04319571865443,1.72471602141653,0.0904890656049254,0.999995710105417,0.999995710105417,"RBL1/TFDP2/MAX/MYC/RBBP4",5
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","5/763","24/7483",0.208333333333333,2.04319571865443,1.72471602141653,0.0904890656049254,0.999995710105417,0.999995710105417,"ITGA6/COL6A1/CTSS/COL4A3/CD151",5
