"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","8/546","51/5433",0.156862745098039,1.56087050204697,1.34502660069787,0.134635819612633,0.862187075596282,0.844880649391014,"8797/4055/1236/57007/56477/8764/11009/1233",8
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","10/546","68/5433",0.147058823529412,1.46331609566904,1.28499670366508,0.14038595209022,0.8820475857744,0.864342505421413,"637/27244/4616/8797/1021/9540/10912/472/51246/596",10
"Human Diseases","Cancer: specific types","hsa05214","Glioma","9/546","61/5433",0.147540983606557,1.46811385335975,1.22886292534877,0.15436896266076,0.9412001767384,0.922307743919405,"4616/1021/10000/5335/10912/805/5295/814/5578",9
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","8/546","53/5433",0.150943396226415,1.50196972838482,1.22738088947065,0.157875399772148,0.9412001767384,0.922307743919405,"6932/4616/10000/10912/4609/51176/5295/8313",8
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","22/546","175/5433",0.125714285714286,1.2509262166405,1.1277421285526,0.158279909601653,0.9412001767384,0.922307743919405,"695/637/5601/7188/4616/22938/5700/1021/10000/10912/4609/5295/4794/5710/917/596/5719/3107/3133/3134/3105/3106",22
"Metabolism","Glycan biosynthesis and metabolism","hsa00513","Various types of N-glycan biosynthesis","6/546","38/5433",0.157894736842105,1.57113938692886,1.18084587627197,0.176904934610262,0.997789675759173,0.977761338660799,"3074/11320/57134/4245/11282/284004",6
"Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","5/546","30/5433",0.166666666666667,1.65842490842491,1.20866077505631,0.177528189527809,0.997789675759173,0.977761338660799,"1407/6095/1408/8945/5571",5
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","5/546","30/5433",0.166666666666667,1.65842490842491,1.20866077505631,0.177528189527809,0.997789675759173,0.977761338660799,"695/959/29851/3575/3932",5
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","3/546","15/5433",0.2,1.99010989010989,1.28340746279812,0.185768428000034,0.997789675759173,0.977761338660799,"5019/3155/622",3
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","19/546","152/5433",0.125,1.24381868131868,1.01902706948774,0.1864942055781,0.997789675759173,0.977761338660799,"637/5601/6932/3710/4773/1021/10000/5335/4609/51176/805/5295/131450/1233/3107/3133/3134/3105/3106",19
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","7/546","47/5433",0.148936170212766,1.48199672667758,1.10921280821317,0.188138780638459,0.997789675759173,0.977761338660799,"50943/6095/3594/50615/6775/4088/4094",7
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","13/546","99/5433",0.131313131313131,1.30663780663781,1.02913375695561,0.191292589661267,0.997789675759173,0.977761338660799,"6932/1741/657/154796/1742/10207/4609/51176/9231/7476/8945/4088/8313",13
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","6/546","39/5433",0.153846153846154,1.53085376162299,1.11200506153867,0.19260977932998,0.997789675759173,0.977761338660799,"3710/8911/10000/408/5295/5578",6
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","4/546","23/5433",0.173913043478261,1.73053033922599,1.17343374966876,0.194763750523562,0.997789675759173,0.977761338660799,"83988/408/5567/805",4
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","6/546","40/5433",0.15,1.49258241758242,1.04507804435285,0.208820718142771,0.999985169649174,0.97991276305119,"55750/1606/2717/160851/8526/10555",6
"Metabolism","Glycan biosynthesis and metabolism","hsa00531","Glycosaminoglycan degradation","3/546","16/5433",0.1875,1.86572802197802,1.15908979197454,0.212681074535315,0.999985169649174,0.97991276305119,"3074/8692/2720",3
"Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","4/546","24/5433",0.166666666666667,1.65842490842491,1.08045930648508,0.216505141810277,0.999985169649174,0.97991276305119,"2717/2584/3101/2720",4
"Genetic Information Processing","Information processing in viruses","hsa03272","Virion - Hepatitis viruses","4/546","24/5433",0.166666666666667,1.65842490842491,1.08045930648508,0.216505141810277,0.999985169649174,0.97991276305119,"128866/3339/91782/1803",4
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","7/546","49/5433",0.142857142857143,1.42150706436421,0.990616151324226,0.217504512602049,0.999985169649174,0.97991276305119,"998/4773/10000/5335/5295/5578/8877",7
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","9/546","67/5433",0.134328358208955,1.33664097096933,0.926689133456814,0.227072819699696,0.999985169649174,0.97991276305119,"51447/80271/8821/5335/5287/51196/3707/3636/9677",9
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","12/546","94/5433",0.127659574468085,1.27028290858078,0.8835020929869,0.231773776033368,0.999985169649174,0.97991276305119,"6932/5243/4616/10000/10912/4609/51176/5295/7476/4088/8313/596",12
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","10/546","77/5433",0.12987012987013,1.29227914942201,0.863332212833998,0.241977872660097,0.999985169649174,0.97991276305119,"5601/1606/160851/10000/5335/5295/8526/5578/5900/80310",10
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","6/546","42/5433",0.142857142857143,1.42150706436421,0.916536720630372,0.24257810115265,0.999985169649174,0.97991276305119,"221/2026/3945/55902/1737/3101",6
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","13/546","104/5433",0.125,1.24381868131868,0.839104055467227,0.242671248649684,0.999985169649174,0.97991276305119,"5601/9454/4616/10000/10912/5295/472/2308/114907/4088/3575/1901/5571",13
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","13/546","104/5433",0.125,1.24381868131868,0.839104055467227,0.242671248649684,0.999985169649174,0.97991276305119,"637/5601/4363/10000/1509/29095/91012/5295/5578/130367/1901/596/8877",13
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","8/546","60/5433",0.133333333333333,1.32673992673993,0.850598171353921,0.251850972044348,0.999985169649174,0.97991276305119,"6932/11040/5467/10000/4609/51176/5295/929",8
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","19/546","160/5433",0.11875,1.18162774725275,0.779414237072247,0.252849942645079,0.999985169649174,0.97991276305119,"7185/998/5933/7188/22938/5700/9093/1021/4055/6908/5567/5295/1233/85236/3107/3133/3134/3105/3106",19
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","6/546","43/5433",0.13953488372093,1.38844876054178,0.854729351066039,0.260029962677005,0.999985169649174,0.97991276305119,"55775/5982/3978/54936/57804/5426",6
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","4/546","26/5433",0.153846153846154,1.53085376162299,0.906856187989075,0.261722671454428,0.999985169649174,0.97991276305119,"594/3945/55902/8801",4
"Cellular Processes","Cell motility","hsa04814","Motor proteins","14/546","115/5433",0.121739130434783,1.21137123745819,0.765730024269072,0.262977770827142,0.999985169649174,0.97991276305119,"10627/59/103910/83544/10749/7136/11127/92558/55605/57519/3800/10540/79659/4636",14
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","8/546","61/5433",0.131147540983607,1.30499009187534,0.800640728349226,0.266565237611682,0.999985169649174,0.97991276305119,"51606/51382/8992/529/8741/155066/940/23545",8
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","9/546","70/5433",0.128571428571429,1.27935635792779,0.786246479763293,0.267510717216329,0.999985169649174,0.97991276305119,"4756/5933/657/4093/4609/9372/4088/285704/9241",9
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","9/546","70/5433",0.128571428571429,1.27935635792779,0.786246479763293,0.267510717216329,0.999985169649174,0.97991276305119,"5601/998/4616/1021/10000/10912/5295/5900/4088",9
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","5/546","35/5433",0.142857142857143,1.42150706436421,0.836137058458201,0.272303324461289,0.999985169649174,0.97991276305119,"1175/8766/1211/5567/5578",5
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","14/546","116/5433",0.120689655172414,1.20092838196286,0.731125588422848,0.273702701363996,0.999985169649174,0.97991276305119,"5601/998/1741/10627/27134/10094/103910/154796/10095/10207/5567/5872/5571/10552",14
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","13/546","107/5433",0.121495327102804,1.20894526034713,0.72958998600642,0.275803150630674,0.999985169649174,0.97991276305119,"1606/160851/10000/2185/5335/22800/5295/8526/5578/5900/10555/80310/8877",13
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","6/546","44/5433",0.136363636363636,1.35689310689311,0.794447932042621,0.27779964200961,0.999985169649174,0.97991276305119,"3710/683/5567/805/5578/820",6
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","9/546","71/5433",0.126760563380282,1.261337254295,0.740836081466341,0.281458098128579,0.999985169649174,0.97991276305119,"998/6932/10627/103910/4008/51176/4088/57493/4636",9
