ID_REF	Probe Name	miRNA_ID	Accession	Class Name	HC1	HC2	HC3	HC4	LTB1	LTB2	LTB3	LTB4	LTB5	LTB6	DS-TB1	DS-TB2	DS-TB3	DS-TB4	DS-TB5	DS-TB6	DR-TB1	DR-TB2	DR-TB3	DR-TB4		
hsa-miR-125b-5p	hsa-miR-125b-5p	hsa-miR-125b-5p	MIMAT0000423	Endogenous1	53.64	48.31	26.06	30.06	28.17	36.23	32.15	39.11	52.7	43.47	31.99	26.63	31.02	53.49	43.98	45.33	31.37	24.44	19.62	35.58		
hsa-miR-126-3p	hsa-miR-126-3p	hsa-miR-126-3p	MIMAT0000445	Endogenous1	273.56	459.34	134.62	152.9	213.89	132.36	108.3	350.54	241.55	429.02	186.4	187.65	277.23	259.6	191.97	835.59	199.07	217.06	310.59	373.58		
hsa-miR-1260a	hsa-miR-1260a	hsa-miR-1260a	MIMAT0005911	Endogenous1	57.66	51.38	44.87	74.49	58.43	45.98	60.92	102.39	62.58	52.92	70.59	62.13	67.85	55.07	74.42	97.23	90.49	67.56	90.45	54.74		
hsa-miR-1260b	hsa-miR-1260b	hsa-miR-1260b	MIMAT0015041	Endogenous1	21.46	35.27	23.16	9.15	19.82	22.29	18.61	27.73	24.16	23.62	17.65	25.36	17.45	20.45	25.37	13.16	15.68	18.69	13.08	24.63		
hsa-miR-1261	hsa-miR-1261	hsa-miR-1261	MIMAT0005913	Endogenous1	46.93	37.58	40.53	28.75	56.34	51.55	44	17.78	47.21	38.74	34.19	36.77	25.2	55.07	35.52	17.55	41.02	43.12	21.8	26		
hsa-miR-1262	hsa-miR-1262	hsa-miR-1262	MIMAT0005914	Endogenous1	24.14	20.7	17.37	27.44	27.13	22.29	22	22.75	40.62	31.18	8.82	26.63	7.75	42.48	26.22	19.01	14.48	27.31	17.44	35.58		
hsa-miR-1264	hsa-miR-1264	hsa-miR-1264	MIMAT0005791	Endogenous1	41.57	19.94	30.4	23.52	30.26	34.83	27.08	17.78	39.53	28.35	13.24	22.82	17.45	36.19	21.99	18.28	21.72	24.44	13.08	26		
hsa-miR-1266-5p	hsa-miR-1266-5p	hsa-miR-1266-5p	MIMAT0005920	Endogenous1	45.59	23.01	20.27	27.44	34.43	25.08	16.92	22.75	29.64	25.51	12.13	20.29	19.39	36.19	23.68	16.81	19.3	18.69	9.81	31.47		
hsa-miR-1268a	hsa-miR-1268a	hsa-miR-1268a	MIMAT0005922	Endogenous1	22.8	28.37	24.61	23.52	22.95	19.51	30.46	18.49	42.82	34.02	16.54	7.61	13.57	48.77	27.91	18.28	13.27	24.44	10.9	32.84		
hsa-miR-1268b	hsa-miR-1268b	hsa-miR-1268b	MIMAT0018925	Endogenous1	37.55	22.24	53.56	35.29	40.69	44.59	50.77	15.64	37.33	23.62	43.02	40.57	29.08	48.77	31.29	18.28	28.96	44.56	28.33	28.74		
hsa-miR-1269a	hsa-miR-1269a	hsa-miR-1269a	MIMAT0005923	Endogenous1	40.23	26.84	39.08	47.05	36.52	40.41	32.15	24.18	60.39	36.85	25.37	34.23	31.02	48.77	26.22	19.01	38.61	40.25	29.42	21.89		
hsa-miR-1269b	hsa-miR-1269b	hsa-miR-1269b	MIMAT0019059	Endogenous1	14.75	10.74	14.48	24.83	25.04	18.11	23.69	7.82	28.55	14.17	14.34	29.16	16.48	22.03	13.53	14.62	10.86	12.94	15.26	15.05		
hsa-miR-127-3p	hsa-miR-127-3p	hsa-miR-127-3p	MIMAT0000446	Endogenous1	38.89	26.07	30.4	40.51	56.34	48.77	37.23	22.04	42.82	31.18	41.91	39.3	24.23	34.61	31.29	15.35	24.13	41.69	25.07	28.74		
hsa-miR-127-5p	hsa-miR-127-5p	hsa-miR-127-5p	MIMAT0004604	Endogenous1	28.16	19.94	21.71	22.22	9.39	18.11	15.23	11.38	46.11	34.02	14.34	25.36	2.91	42.48	29.6	12.43	12.06	8.62	7.63	35.58		
hsa-miR-1270	hsa-miR-1270	hsa-miR-1270	MIMAT0005924	Endogenous1	38.89	26.84	41.98	39.21	46.95	36.23	33.84	24.89	50.51	40.63	33.09	41.84	24.23	44.05	26.22	24.86	39.81	25.87	27.24	24.63		
hsa-miR-1271-3p	hsa-miR-1271-3p	hsa-miR-1271-3p	MIMAT0022712	Endogenous1	14.75	12.27	23.16	11.76	19.82	11.15	15.23	5.69	18.67	20.79	8.82	11.41	6.79	33.04	10.15	6.58	10.86	7.19	6.54	17.79		
hsa-miR-1271-5p	hsa-miR-1271-5p	hsa-miR-1271-5p	MIMAT0005796	Endogenous1	45.59	26.84	52.11	45.74	58.43	62.7	40.61	20.62	35.13	31.18	31.99	25.36	19.39	37.76	26.22	14.62	27.75	51.75	19.62	17.79		
hsa-miR-1272	hsa-miR-1272	hsa-miR-1272	MIMAT0005925	Endogenous1	46.93	16.1	11.58	28.75	26.08	32.05	22	3.56	26.35	15.12	7.72	22.82	14.54	45.63	11.84	6.58	15.68	11.5	1.09	42.42		
hsa-miR-1273c	hsa-miR-1273c	hsa-miR-1273c	MIMAT0015017	Endogenous1	30.84	26.07	18.82	27.44	24	36.23	28.77	21.33	42.82	31.18	17.65	27.89	19.39	31.47	25.37	18.28	13.27	24.44	17.44	28.74		
hsa-miR-1275	hsa-miR-1275	hsa-miR-1275	MIMAT0005929	Endogenous1	22.8	15.34	18.82	18.3	14.61	22.29	18.61	9.24	19.76	15.12	12.13	21.55	17.45	22.03	18.61	11.7	12.06	21.56	6.54	15.05		
hsa-miR-1276	hsa-miR-1276	hsa-miR-1276	MIMAT0005930	Endogenous1	34.87	18.4	27.5	15.68	30.26	27.87	20.31	8.53	23.06	30.24	23.16	30.43	17.45	29.89	29.6	13.89	12.06	23	16.35	24.63		
hsa-miR-1277-3p	hsa-miR-1277-3p	hsa-miR-1277-3p	MIMAT0005933	Endogenous1	41.57	15.34	26.06	23.52	32.34	33.44	30.46	19.2	53.8	36.85	31.99	59.59	22.29	37.76	29.6	21.2	34.99	33.06	46.86	45.16		
hsa-miR-1278	hsa-miR-1278	hsa-miR-1278	MIMAT0005936	Endogenous1	21.46	16.1	33.29	22.22	29.21	23.69	25.38	8.53	17.57	14.17	20.96	22.82	24.23	28.32	15.22	10.97	21.72	27.31	17.44	9.58		
hsa-miR-1279	hsa-miR-1279	hsa-miR-1279	MIMAT0005937	Endogenous1	40.23	29.91	33.29	27.44	32.34	36.23	30.46	30.57	46.11	30.24	26.47	25.36	16.48	66.08	32.98	25.59	27.75	25.87	18.53	42.42		
hsa-miR-128-1-5p	hsa-miR-128-1-5p	hsa-miR-128-1-5p	MIMAT0026477	Endogenous1	34.87	29.91	11.58	9.15	16.69	19.51	15.23	20.62	38.43	25.51	8.82	11.41	5.82	28.32	21.14	12.43	14.48	12.94	11.99	23.26		
hsa-miR-128-2-5p	hsa-miR-128-2-5p	hsa-miR-128-2-5p	MIMAT0031095	Endogenous1	25.48	11.5	18.82	22.22	18.78	32.05	30.46	11.38	20.86	21.73	12.13	30.43	7.75	20.45	10.99	10.97	16.89	23	11.99	10.95		
hsa-miR-128-3p	hsa-miR-128-3p	hsa-miR-128-3p	MIMAT0000424	Endogenous1	1.34	1	1.45	1.31	1.04	1.39	1.69	1	1.1	1	1.1	1.27	1	1.57	1	1	1.21	1.44	1.09	1.37		
hsa-miR-1281	hsa-miR-1281	hsa-miR-1281	MIMAT0005939	Endogenous1	44.25	20.7	15.92	27.44	30.26	18.11	22	17.78	37.33	17.01	14.34	13.95	12.6	42.48	40.59	10.97	16.89	14.37	15.26	38.32		
hsa-miR-1283	hsa-miR-1283	hsa-miR-1283	MIMAT0005799	Endogenous1	1.34	1	1.45	1.31	1.04	1.39	1.69	1	1.1	1	1.1	1.27	1	1.57	1	1	1.21	1.44	1.09	1.37		
