"miRNA","logFC","P.Value","adj.P.Val","AveExpr","t"
"hsa-miR-331-3p",-0.250991238199472,0.343651576081545,0.698050948416123,5.56044817453759,-0.965314505951938
"hsa-miR-331-5p",-0.10705687879424,0.686640920539047,0.857823424906275,4.20141813380406,-0.40815589960077
"hsa-miR-335-5p",0.0384737103977972,0.896576376986849,0.964242518646234,4.86624325008666,0.131318729065583
"hsa-miR-337-3p",-0.642283841554305,0.0339898803187446,0.609467853313963,4.65602484665031,-2.24344210794005
"hsa-miR-337-5p",-0.745077209686405,0.0237702325418314,0.609467853313963,4.67572478645744,-2.40779734347652
"hsa-miR-338-5p",-0.0993432392352123,0.783101973676285,0.906737164325553,4.27130115314174,-0.278265185563272
"hsa-miR-339-3p",-0.936694110425377,0.0172577099094103,0.609467853313963,4.46701784046704,-2.55096756550787
"hsa-miR-339-5p",-0.164599580115668,0.68607445138215,0.857823424906275,4.62989735785079,-0.408937812020829
"hsa-miR-33a-5p",-0.12330263280106,0.669311462604163,0.846450946367864,5.39467835669022,-0.432196051490358
"hsa-miR-33b-5p",-0.562353915769386,0.104676174320102,0.611921338001418,4.77242692351457,-1.68388549389836
"hsa-miR-340-5p",-0.209490112679237,0.612538865950754,0.812994432526668,8.82782031664788,-0.512891339502676
"hsa-miR-342-3p",-0.0979693380871325,0.748825969696877,0.887493383060379,7.9523122149894,-0.323749514900606
"hsa-miR-342-5p",-0.157424521229396,0.726754878063796,0.87788937670515,3.69049827727617,-0.353403260409615
"hsa-miR-345-3p",-0.416873389942326,0.27170782682799,0.670158901343609,4.46087445889476,-1.124009404581
"hsa-miR-345-5p",-0.0253837435939435,0.924769546384185,0.973812328561592,4.71600763614001,-0.095386883690412
"hsa-miR-346",-0.51066089247979,0.212832237860439,0.636416312455498,4.82404442433268,-1.27851919576582
"hsa-miR-34a-5p",-0.447402320121833,0.193188578401761,0.630695505869534,5.10576518822633,-1.33730376578624
"hsa-miR-34b-3p",-0.983676032533756,0.0138536532480119,0.57305854796297,4.39395361970691,-2.64734501030769
"hsa-miR-34c-3p",-0.0640041784186174,0.869544842721605,0.945234833649701,4.62670473583406,-0.165935776906182
"hsa-miR-34c-5p",-0.78296323501239,0.0567844134752101,0.609467853313963,4.05936614358558,-1.9975135279267
"hsa-miR-3605-3p",-0.290749616730708,0.457784129011983,0.740927803941245,3.73553901130197,-0.754208115207756
"hsa-miR-3605-5p",0.0801331604949818,0.830908397821937,0.930486982701656,4.7014880679429,0.215786763655131
"hsa-miR-361-3p",0.115305491311288,0.70940990360459,0.869118045686912,6.65960083838183,0.376933672983345
"hsa-miR-361-5p",-0.354445950754066,0.334888571501136,0.695016846512226,7.12212111271838,-0.983323301040482
"hsa-miR-3613-3p",-0.107674341511056,0.773708740617732,0.899312510009508,4.50970711208357,-0.290666699102351
"hsa-miR-3613-5p",-0.0370083227870133,0.895419270879943,0.964242518646234,4.19409939160311,-0.132796887642747
"hsa-miR-3614-3p",-0.360472465685205,0.256092295541976,0.670158901343609,4.79792247129443,-1.16234846357515
"hsa-miR-3614-5p",-0.238863992843756,0.504484751078728,0.761018584803071,4.54386531309534,-0.677241218411184
"hsa-miR-3615",-0.089273043090806,0.806312416396146,0.916439571452625,4.50207045116145,-0.247806266722706
"hsa-miR-362-3p",-0.244704094936685,0.52156278299392,0.777957197811493,5.30493436591852,-0.650110153044948
"hsa-miR-362-5p",0.350233685626244,0.203238814527704,0.63088000204103,6.52110142518283,1.30667900233149
"hsa-miR-363-3p",-0.174047143298921,0.59237698673844,0.802575272355305,6.1429649257536,-0.542368101980861
"hsa-miR-363-5p",-0.295872887670802,0.42350234615004,0.73528629706123,4.63784051349087,-0.813722414563238
