"","HC1","HC2","HC3","HC4","LTB1","LTB2","LTB3","LTB4","LTB5","LTB6","DS-TB1","DS-TB2","DS-TB3","DS-TB4","DS-TB5","DS-TB6","DR-TB1","DR-TB2","DR-TB3","DR-TB4"
"hsa-miR-564",4.79805051476751,4.33413917883824,4.59454854955035,3.81455042346181,3.96439863220318,3.90014226035982,4.29351763041742,4.28466218548316,4.98823022306046,4.67638025546692,4.59454854955035,4.32337006906127,3.54349588342577,5.54318652456517,4.22958792274065,4.03121873061072,3.70708299177171,4.58496250072116,3.92314918047231,5.02103547951136
"hsa-miR-566",4.93073733756289,4.43962313755712,5.15946772926677,5.37538702682888,4.86641348112345,5.46564802598228,5.19140472885276,4.23112515787905,5.26040209302579,5.47476049957678,4.83642913116165,4.78816365703777,4.60050764534579,5.54318652456517,3.9429835981871,3.82374936030827,3.70708299177171,5.09000652990382,4.1168637576909,4.60050764534579
"hsa-miR-567",4.86591881455221,3.45549162062847,4.59454854955035,4.27052894238072,4.37989816352469,4.14730669878029,3.68369645430652,3.92789645372882,4.83035674741922,3.83086375675176,4.13257684267001,4.78816365703777,3.76553474636298,4.06436554026363,4.76659516172927,3.58135124716878,3.04264433740849,4.58496250072116,3.57288966842058,5.13791332208841
"hsa-miR-568",4.79805051476751,3.73009646559547,4.50525580093216,4.27052894238072,4.45088131527337,4.98413359454098,4.41345868800798,4.17472598770613,4.45022149589718,4.56559717585422,4.03913839390696,4.41210404467757,4.20554891117303,4.42290574261218,4.29351763041742,3.39231742277876,3.83491342970104,4.29939120612683,3.28095631383106,4.33342373372519
"hsa-miR-570-3p",1.22650852980868,1,1.29278174922785,1.20789285164133,1.02856915219677,1.25701061820602,1.4276061727819,1,1.0703893278914,1,1.0703893278914,1.18269229751619,1,1.36176835941915,1,1,1.14404636961671,1.28688114778816,1.06350294230616,1.24488705912353
"hsa-miR-571",5.31795521831244,4.58556349845569,5.42559357765306,4.89481776330794,4.75915583380027,5.10601323762212,4.41345868800798,4.65420637794429,5.13093086982645,4.50652577904312,4.52732060787705,4.49505552836802,4.20554891117303,5.54318652456517,4.85349670370232,4.32264926213102,4.34340782229781,4.74792441623844,3.92314918047231,4.60050764534579
"hsa-miR-572",4.57288966842058,4.58556349845569,4.41074812818595,4.36457243229586,4.75915583380027,4.77978500530113,4.29351763041742,4.1168637576909,4.83035674741922,4.67638025546692,3.45022149589718,4.32337006906127,3.86492897228979,5.02103547951136,4.16269343221124,4.03121873061072,4.42693561964834,4.40053792958373,3.92314918047231,4.82629424549963
"hsa-miR-573",5.26865895502767,4.15946772926677,5.21684284283726,4.82984955984469,4.96624587322494,5.21839371107679,4.52356195605701,3.85897561429202,5.21839371107679,4.96532254836725,4.77978500530113,4.78816365703777,4.41683974191283,5.38922261635589,4.57470704641555,4.51916444980607,5.01658546043445,4.66902676550963,4.28762004411207,4.42827641439251
"hsa-miR-574-3p",5.49984588708321,5.68957872550933,5.32481060342048,5.32948243102564,5.34518344718767,5.51064550409004,5.64587455030903,5.7636771418966,5.34091827027212,5.34660237529899,5.75328361646088,5.28688114778816,5.71066869967463,5.6372044819023,5.87061131304455,5.57863686247174,5.58646452588639,5.36632221424582,5.92931759491176,5.44028782084042
"hsa-miR-574-5p",5.21761848535105,4.27798474729977,5.51947900230724,4.76234881564413,4.86641348112345,5.21839371107679,4.41345868800798,4.8444860877578,5.21839371107679,4.87528859822269,4.77978500530113,4.97407036702403,5.24145887127465,5.54318652456517,4.46858331700683,4.51916444980607,4.34340782229781,4.29939120612683,4.81966818349646,4.95930648975966
