"Gene","Degree","Betweenness","Closeness","Eigenvector"
"IL15RA",7,0.00196211837980274,0.383107088989442,0.0315329355239512
"BTN3A1",7,0.000457595659518562,0.340939597315436,0.0250085620206956
"APOL1",7,0.00398496231776857,0.315136476426799,0.00623292654827678
"SP140",6,4.51628574110197e-05,0.336423841059603,0.0496574752662299
"CTSL",6,0.00876676929972975,0.345578231292517,0.0288747404898517
"BTN3A3",6,0.000658533234139628,0.35180055401662,0.0287336429371677
"GAS6",6,0.016335748530497,0.38368580060423,0.0269986315748402
"RUNX3",6,0.0075788379184524,0.32987012987013,0.0132302073845652
"BAK1",6,0.00049007883615647,0.33509234828496,0.0120267457398377
"CALHM6",5,0.000110182564584972,0.344640434192673,0.0496427777589987
"PARP16",5,0.000315016858689713,0.342780026990553,0.0465942065917884
"CALCOCO2",5,0.000204221914068411,0.328165374677003,0.0380604276543845
"TRIM32",5,0.000313665740278174,0.341397849462366,0.0327048811242209
"MDK",5,0.017990326894542,0.381954887218045,0.0325995352470679
"APOL3",5,0.00078575910857121,0.344173441734417,0.0321958729556996
"BCR",5,0.0103997228913277,0.37741456166419,0.0318331985144429
"DGCR8",5,0.00202257347086773,0.327741935483871,0.0181550287096328
"MECP2",5,0.0122383578714548,0.305288461538462,0.00577574729417877
"SORT1",5,0.022326014431242,0.297076023391813,0.00141768384053517
"RAB8A",5,0.0226815051145912,0.246601941747573,0.000111239538623916
"RNF216",4,5.18569118062147e-06,0.348422496570645,0.0528931868333168
"MT2A",4,0.000120630989892259,0.37910447761194,0.0390044082508644
"APOL2",4,0.000459477876731177,0.345578231292517,0.0327204538203355
"DYNLT1",4,0.0047144646021,0.350344827586207,0.0306637777162807
"LAMP3",4,2.24948082976143e-05,0.362339514978602,0.0285478739991011
"ATG3",4,0.000460312951610678,0.324393358876117,0.0186078620804226
"ACO1",4,0.00093534810075457,0.323979591836735,0.0153127211190965
"DUSP3",4,0.00843401661739137,0.338666666666667,0.0142584393647643
"ATF5",4,0.00969097996997694,0.325224071702945,0.00990479122058046
"UBE2F",4,0.022014599821937,0.301304863582444,0.00891039083520227
"C2",4,0,0.312423124231242,0.00790838387612715
"TRIM69",4,0.000148817942783092,0.303102625298329,0.007313457171526
"TOR1B",4,0.00146192191342861,0.3175,0.00692859337605852
"VAMP3",4,0.0283645611884358,0.319496855345912,0.0060837913024415
"IDH1",4,0.00104061438132912,0.318695106649937,0.00591440638844742
"GTPBP2",4,0.0130529718622208,0.306024096385542,0.00578480371585835
"CETP",4,0.00259998267165335,0.31013431013431,0.00254072087853326
"BHLHE40",4,0.00798400862537925,0.297772567409144,0.00191798881086552
"TOR1A",4,0.00194698746635748,0.283482142857143,0.000929262393252255
"TRIM6",3,0,0.373529411764706,0.0448595800668783
"FANCA",3,0.00728770595690748,0.372434017595308,0.0330261459633998
"NT5C3A",3,0.00728770595690748,0.328589909443726,0.0307250602637186
"CLEC2B",3,0.000198706507567296,0.357243319268636,0.022519777590444
"MAP2K6",3,8.45690009188108e-06,0.329442282749676,0.0201230903048052
"NUB1",3,5.14144931826824e-05,0.324393358876117,0.0173045294981127
"MRPL44",3,0.0002916176363899,0.323566878980892,0.0154984792376442
"RPS6KA2",3,0.0073332155442265,0.327319587628866,0.0153557292002407
"AGRN",3,0.00861539451490518,0.320707070707071,0.0136713416598571
"MBD2",3,0,0.30166270783848,0.00209676920892441
"DUSP5",3,0.00739557443564183,0.303464755077658,0.00196248913233692
"GIMAP4",3,0.00728770595690748,0.293302540415704,0.00193558591184776
"GLRX",3,0.000457961509991112,0.304556354916067,0.00182394085014186
"H4C8",3,1.44025809425049e-05,0.283166109253066,0.0013629226126413
"FAM20A",3,0.00702178368300346,0.2847533632287,0.000604036649926343
"DISC1",3,0.00745214440823517,0.256048387096774,0.000284798133791892
"MIA3",3,0.0146771901524753,0.233241505968779,3.67195479163563e-05
"TRANK1",2,3.53469935218985e-06,0.312423124231242,0.0208610685446349
"CHMP5",2,0,0.340939597315436,0.0178429237833815
"RUBCN",2,9.1355898074701e-05,0.323566878980892,0.0151965778119353
"SMARCD3",2,0,0.325641025641026,0.0141109928692712
"IGF2BP3",2,0.000107111833583441,0.328165374677003,0.00881778601185436
"CNDP2",2,0.00728770595690748,0.296037296037296,0.00761022696426833
"BTN2A2",2,0,0.307878787878788,0.00512291811455362
"AANAT",2,0.000723058244456831,0.308626974483597,0.00422793046015341
"PSTPIP2",2,2.47828194596255e-05,0.288636363636364,0.00216634828976407
"LMO2",2,0,0.303827751196172,0.00207132500495688
"GPR84",2,6.80306077367477e-05,0.307134220072551,0.00193047328780218
"DCUN1D3",2,0.000306767230752267,0.282536151279199,0.00184790577783123
"GTPBP1",2,0.000186747241855307,0.297423887587822,0.00179470427736234
"LHFPL2",2,0.000450570488386467,0.298823529411765,0.00152932289353435
